gas,year,lights_mean,lights_sum,pop_sum,pop_flooded_sum,flood_intensity_3,id
,1992,0,0,2166.3755,0,0,ALAFAN
,1993,0,0,2166.3755,0,0,ALAFAN
,1994,0,0,2166.3755,0,0,ALAFAN
,1995,0,0,2166.3755,0,0,ALAFAN
,1996,0,0,2166.3755,0,0,ALAFAN
,1997,0,0,2166.3755,0,0,ALAFAN
,1998,0,0,2166.3755,0,0,ALAFAN
,1999,0,0,2166.3755,0,0,ALAFAN
,2000,0,0,2166.3755,0,0,ALAFAN
,2001,0,0,2166.3755,0,0,ALAFAN
,2002,0,0,2166.3755,0,0,ALAFAN
,2003,0,0,2166.3755,0,0,ALAFAN
,2004,0,0,2166.3755,0,0,ALAFAN
,2005,0,0,2166.3755,0,0,ALAFAN
,2006,0,0,2166.3755,0,0,ALAFAN
,2007,0,0,2166.3755,0,0,ALAFAN
,2008,0,0,2166.3755,0,0,ALAFAN
,2009,0,0,2166.3755,0,0,ALAFAN
,2010,0,0,2166.3755,0,0,ALAFAN
,2011,0,0,2166.3755,0,0,ALAFAN
,2012,0,0,2166.3755,0,0,ALAFAN
,1992,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1993,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1994,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1995,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1996,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1997,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1998,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1999,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2000,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2001,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2002,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2003,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2004,.116279,15,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2005,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2006,.162791,21,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2007,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2008,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2009,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2010,0,0,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2011,.34883699,45,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,2012,.80620199,104,20903.947,9042.6064,.38886106,ARONGAN LAMBALEK
,1992,0,0,2132.9482,0,0,ATU LINTANG
,1993,0,0,2132.9482,0,0,ATU LINTANG
,1994,0,0,2132.9482,0,0,ATU LINTANG
,1995,0,0,2132.9482,0,0,ATU LINTANG
,1996,0,0,2132.9482,0,0,ATU LINTANG
,1997,0,0,2132.9482,0,0,ATU LINTANG
,1998,0,0,2132.9482,0,0,ATU LINTANG
,1999,0,0,2132.9482,0,0,ATU LINTANG
,2000,0,0,2132.9482,0,0,ATU LINTANG
,2001,.63953501,55,2132.9482,0,0,ATU LINTANG
,2002,1.27907,110,2132.9482,0,0,ATU LINTANG
,2003,0,0,2132.9482,0,0,ATU LINTANG
,2004,0,0,2132.9482,0,0,ATU LINTANG
,2005,.418605,36,2132.9482,0,0,ATU LINTANG
,2006,0,0,2132.9482,0,0,ATU LINTANG
,2007,0,0,2132.9482,0,0,ATU LINTANG
,2008,0,0,2132.9482,0,0,ATU LINTANG
,2009,0,0,2132.9482,0,0,ATU LINTANG
,2010,0,0,2132.9482,0,0,ATU LINTANG
,2011,0,0,2132.9482,0,0,ATU LINTANG
,2012,0,0,2132.9482,0,0,ATU LINTANG
,1992,0,0,26191.9,0,0,BABAH ROT
,1993,0,0,26191.9,0,0,BABAH ROT
,1994,0,0,26191.9,0,0,BABAH ROT
,1995,0,0,26191.9,0,0,BABAH ROT
,1996,0,0,26191.9,0,0,BABAH ROT
,1997,0,0,26191.9,0,0,BABAH ROT
,1998,0,0,26191.9,0,0,BABAH ROT
,1999,0,0,26191.9,0,0,BABAH ROT
,2000,0,0,26191.9,0,0,BABAH ROT
,2001,0,0,26191.9,0,0,BABAH ROT
,2002,0,0,26191.9,0,0,BABAH ROT
,2003,.077064,42,26191.9,0,0,BABAH ROT
,2004,.011009,6,26191.9,0,0,BABAH ROT
,2005,.011009,6,26191.9,0,0,BABAH ROT
,2006,0,0,26191.9,0,0,BABAH ROT
,2007,0,0,26191.9,0,0,BABAH ROT
,2008,0,0,26191.9,0,0,BABAH ROT
,2009,0,0,26191.9,0,0,BABAH ROT
,2010,.100917,55,26191.9,0,0,BABAH ROT
,2011,.036697,20,26191.9,0,0,BABAH ROT
,2012,.137615,75,26191.9,0,0,BABAH ROT
,1992,0,0,16538.736,0,0,BABUL MAKMUR
,1993,0,0,16538.736,0,0,BABUL MAKMUR
,1994,0,0,16538.736,0,0,BABUL MAKMUR
,1995,0,0,16538.736,0,0,BABUL MAKMUR
,1996,0,0,16538.736,0,0,BABUL MAKMUR
,1997,0,0,16538.736,0,0,BABUL MAKMUR
,1998,0,0,16538.736,0,0,BABUL MAKMUR
,1999,0,0,16538.736,0,0,BABUL MAKMUR
,2000,0,0,16538.736,0,0,BABUL MAKMUR
,2001,0,0,16538.736,0,0,BABUL MAKMUR
,2002,0,0,16538.736,0,0,BABUL MAKMUR
,2003,.36250001,29,16538.736,0,0,BABUL MAKMUR
,2004,.037500001,3,16538.736,0,0,BABUL MAKMUR
,2005,0,0,16538.736,0,0,BABUL MAKMUR
,2006,0,0,16538.736,0,0,BABUL MAKMUR
,2007,0,0,16538.736,0,0,BABUL MAKMUR
,2008,0,0,16538.736,0,0,BABUL MAKMUR
,2009,0,0,16538.736,0,0,BABUL MAKMUR
,2010,1,80,16538.736,0,0,BABUL MAKMUR
,2011,.125,10,16538.736,0,0,BABUL MAKMUR
,2012,1.5625,125,16538.736,0,0,BABUL MAKMUR
,1992,0,0,15354.839,0,0,BABUL RAHMAN
,1993,0,0,15354.839,0,0,BABUL RAHMAN
,1994,0,0,15354.839,0,0,BABUL RAHMAN
,1995,0,0,15354.839,0,0,BABUL RAHMAN
,1996,0,0,15354.839,0,0,BABUL RAHMAN
,1997,0,0,15354.839,0,0,BABUL RAHMAN
,1998,0,0,15354.839,0,0,BABUL RAHMAN
,1999,0,0,15354.839,0,0,BABUL RAHMAN
,2000,0,0,15354.839,0,0,BABUL RAHMAN
,2001,0,0,15354.839,0,0,BABUL RAHMAN
,2002,.0055490001,5,15354.839,0,0,BABUL RAHMAN
,2003,0,0,15354.839,0,0,BABUL RAHMAN
,2004,0,0,15354.839,0,0,BABUL RAHMAN
,2005,0,0,15354.839,0,0,BABUL RAHMAN
,2006,0,0,15354.839,0,0,BABUL RAHMAN
,2007,0,0,15354.839,0,0,BABUL RAHMAN
,2008,0,0,15354.839,0,0,BABUL RAHMAN
,2009,0,0,15354.839,0,0,BABUL RAHMAN
,2010,.087679997,79,15354.839,0,0,BABUL RAHMAN
,2011,0,0,15354.839,0,0,BABUL RAHMAN
,2012,0,0,15354.839,0,0,BABUL RAHMAN
,1992,1.083333,13,1007.6516,0,0,BABUSSALAM
,1993,6.833333,82,1007.6516,0,0,BABUSSALAM
,1994,5.916667,71,1007.6516,0,0,BABUSSALAM
,1995,6.75,81,1007.6516,0,0,BABUSSALAM
